loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_negative_recall,eval_neutral_recall,eval_positive_recall,eval_negative_f1,eval_neutral_f1,eval_positive_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5954926223431378,76.37825012207031,1.481541856350516e-05,1.0,18631,,,,,,,,,,,,,,,,,,,
,,,1.0,18631,0.5534937977790833,0.9783556754290622,0.754196364995329,0.6676674640536143,0.6950135597893912,0.8651040420951925,0.14175824175824175,0.9961401083074087,0.8914356130622304,0.2031496062992126,0.9904554600067306,298.6776,249.51,15.595,,,,,
0.45522420839259836,1.982539415359497,7.407908077053058e-06,2.0,37262,,,,,,,,,,,,,,,,,,,
,,,2.0,37262,0.6322664618492126,0.9791071212914134,0.7444899265229057,0.6833183385170329,0.6979189504017628,0.9095910069361397,0.14615384615384616,0.994210162461113,0.8932472108044627,0.20911949685534592,0.99139014354548,323.8097,230.144,14.385,,,,,
0.3493586954789732,0.13143861293792725,3.975906009581934e-10,3.0,55893,,,,,,,,,,,,,,,,,,,
,,,3.0,55893,0.6562975645065308,0.9789595158541659,0.74700389177341,0.7132492139911636,0.7276345012877337,0.8945228414254963,0.25164835164835164,0.9935764488996428,0.9001203369434416,0.2913486005089059,0.9914345664108534,327.0989,227.83,14.24,,,,,
,,,3.0,55893,,,,,,,,,,,,,,,12198.7822,73.308,4.582,5.808288719094019e+16,0.4666918420715698
