,precision,recall,f1-score,support
negative,0.7711709172889953,0.731488906709436,0.75080595376912,7482.0
neutral,0.1958964976476738,0.5860046911649727,0.2936336924583741,2558.0
positive,0.9872982552214059,0.9213036565977742,0.9531599932445828,70448.0
accuracy,0.8930026836298579,0.8930026836298579,0.8930026836298579,0.8930026836298579
macro avg,0.651455223386025,0.7462657514907276,0.6658665464906922,80488.0
weighted avg,0.9420558533940044,0.8930026836298579,0.9133890808009075,80488.0
