product_key,platform,product_id,product_name,brand,category,price,base_skin_type,total_review_count,avg_rating,overall_positive_count,overall_neutral_count,overall_negative_count,overall_positive_rate,overall_neutral_rate,overall_negative_rate,skin_review_count,skin_positive_count,skin_neutral_count,skin_negative_count,skin_positive_rate,skin_neutral_rate,skin_negative_rate,skin_confidence_label,top_skin_need_tags,top_skin_concern_tags,skin_concern_code_count,has_enough_skin_reviews,caution_level,caution_message,evidence_level,evidence_weight,negative_signal_score,recommendation_score,recommendation_tier,rank_exposure_flag,review_first_flag,display_message,_sample_group
musinsa::5859496,musinsa,5859496,[옵션선택] 코튼풋 발을씻자 풋샴푸 510ml 2개 + 리필 500ml 1개,onthebody,beauty,19900.0,지성,164,4.9817073170731705,159,5,0,0.9695121951219512,0.03048780487804878,0.0,42,39,3,0,0.9285714285714286,0.07142857142857142,0.0,비교적 신뢰 가능,진정|보습|트러블|유수분 조절|모공,,0,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.62,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
musinsa::5859496,musinsa,5859496,[옵션선택] 코튼풋 발을씻자 풋샴푸 510ml 2개 + 리필 500ml 1개,onthebody,beauty,19900.0,건성,164,4.9817073170731705,159,5,0,0.9695121951219512,0.03048780487804878,0.0,23,22,1,0,0.9565217391304348,0.043478260869565216,0.0,비교적 신뢰 가능,진정|보습|탄력|영양공급|모공,,0,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.62,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
oliveyoung::A000000254773,oliveyoung,A000000254773,쥬베룩 PDLLA 콜라겐 부스팅 앰플 20g (+프로텍팅 크림 2ml*5EA) (2604),쥬베룩,skincare,62000.0,지성,119,4.983193277310924,115,4,0,0.9663865546218487,0.03361344537815126,0.0,22,20,2,0,0.9090909090909091,0.09090909090909091,0.0,비교적 신뢰 가능,,미백|주름|보습|각질|트러블,6,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.6,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
musinsa::3202723,musinsa,3202723,TYPE No.91 원더바이브 핸드워시 350ml,typeno,beauty,14000.0,복합성,95,4.926315789473684,94,1,0,0.9894736842105263,0.010526315789473684,0.0,28,28,0,0,1.0,0.0,0.0,비교적 신뢰 가능,진정|보습|유수분 조절|탄력|모공,,0,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.6,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
oliveyoung::A000000254492,oliveyoung,A000000254492,[NEW/단독선런칭] 바이오던스 아이패치 60매 2종 택 1 (콜라겐/캐비어 PDRN),바이오던스,maskpack,27000.0,복합성,169,4.952662721893491,165,4,0,0.9763313609467456,0.023668639053254437,0.0,24,24,0,0,1.0,0.0,0.0,비교적 신뢰 가능,,미백|트러블|모공|주름|보습,3,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.57,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
oliveyoung::A000000254492,oliveyoung,A000000254492,[NEW/단독선런칭] 바이오던스 아이패치 60매 2종 택 1 (콜라겐/캐비어 PDRN),바이오던스,maskpack,27000.0,지성,169,4.952662721893491,165,4,0,0.9763313609467456,0.023668639053254437,0.0,26,26,0,0,1.0,0.0,0.0,비교적 신뢰 가능,,미백|각질|주름|보습|탄력,1,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.57,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
oliveyoung::A000000247859,oliveyoung,A000000247859,[성한빈 PICK] 원더바스 레몬청 팩클렌저 200ml 기획 (+50ml),조성아뷰티,cleansing,19900.0,지성,134,4.940298507462686,131,3,0,0.9776119402985075,0.022388059701492536,0.0,34,33,1,0,0.9705882352941176,0.029411764705882353,0.0,비교적 신뢰 가능,,미백|주름|모공|각질|트러블,9,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.54,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
oliveyoung::A000000247859,oliveyoung,A000000247859,[성한빈 PICK] 원더바스 레몬청 팩클렌저 200ml 기획 (+50ml),조성아뷰티,cleansing,19900.0,복합성,134,4.940298507462686,131,3,0,0.9776119402985075,0.022388059701492536,0.0,20,20,0,0,1.0,0.0,0.0,비교적 신뢰 가능,,미백|주름|모공|홍조|트러블,2,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.54,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
oliveyoung::A000000254380,oliveyoung,A000000254380,SNP 빅 패치 2종 [콜라겐 퍼펙션 / 글루타치온 다크제로] 60매입,SNP,maskpack,28000.0,지성,105,4.923809523809524,103,1,1,0.9809523809523809,0.009523809523809525,0.009523809523809525,23,22,1,0,0.9565217391304348,0.043478260869565216,0.0,비교적 신뢰 가능,,모공|미백|보습|각질|주름,4,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.46,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
musinsa::2616586,musinsa,2616586,DMT 바디로션 400ml+추가증정,physiogel,beauty,24900.0,복합성,108,4.944444444444445,105,2,1,0.9722222222222222,0.018518518518518517,0.009259259259259259,44,43,1,0,0.9772727272727273,0.022727272727272728,0.0,비교적 신뢰 가능,진정|보습|모공|탄력|유수분 조절,,0,True,normal,선택 피부 타입 리뷰 기준으로 특별히 높은 부정 신호는 확인되지 않습니다.,strong_evidence,1.0,0.0,99.45,strong_candidate,True,False,선택 피부 타입 리뷰 기준 부정 신호가 낮은 편입니다.,top_recommendation_samples
