,precision,recall,f1-score,support
negative,0.8566256335988415,0.7419253684540609,0.7951604772307175,3189.0
neutral,0.1434414256500146,0.7818471337579618,0.24240928165884967,628.0
positive,0.9935688485595983,0.8997207818109294,0.9443188478606716,25070.0
accuracy,0.879738290580538,0.879738290580538,0.879738290580538,0.879738290580538
macro avg,0.6645453026028182,0.8078310946743175,0.6606295355834129,28887.0
weighted avg,0.9599692385586612,0.879738290580538,0.9125929763089816,28887.0
