,precision,recall,f1-score,support
negative,0.8704766991587662,0.8712910986367282,0.870883708503106,7482.0
neutral,0.5359823399558499,0.47458952306489444,0.5034211071946921,2558.0
positive,0.9872479995476009,0.9912559618441972,0.9892479211230893,70448.0
accuracy,0.9636840274326608,0.9636840274326608,0.9636840274326608,0.9636840274326608
macro avg,0.797902346220739,0.7790455278486066,0.7878509122736291,80488.0
weighted avg,0.9620514432069668,0.9636840274326608,0.962804898202262,80488.0
