,precision,recall,f1-score,support
negative,0.8648749533407988,0.7265600501724678,0.7897068847989094,3189.0
neutral,0.12711466165413535,0.8614649681528662,0.22153972153972154,628.0
positive,0.997676749271137,0.8735939369764659,0.9315214155076347,25070.0
accuracy,0.8570983487381867,0.8570983487381867,0.8570983487381867,0.8570983487381867
macro avg,0.6632221214220237,0.8205396517672666,0.647589340615422,28887.0
weighted avg,0.9640900868193308,0.8570983487381867,0.9004307850426514,28887.0
