,precision,recall,f1-score,support
negative,0.9039347749025168,0.7996237064910631,0.848585690515807,3189.0
neutral,0.4473684210526316,0.027070063694267517,0.05105105105105105,628.0
positive,0.9572767788535423,0.9938571998404467,0.9752240792203217,25070.0
accuracy,0.9513968220999065,0.9513968220999065,0.9513968220999065,0.9513968220999065
macro avg,0.7695266582695636,0.6068503233419258,0.6249536069290599,28887.0
weighted avg,0.9403027040344614,0.9513968220999065,0.94115233472387,28887.0
