,precision,recall,f1-score,support
negative,0.7370346460081774,0.8191820138722794,0.7759401903035795,4181.0
neutral,0.08922923256201098,0.589010989010989,0.1549804828682955,910.0
positive,0.9953655137860308,0.9156152782578638,0.953826302878448,69432.0
accuracy,0.906216872643345,0.906216872643345,0.906216872643345,0.906216872643345
macro avg,0.607209797452073,0.7746027603803775,0.6282489920167743,74523.0
weighted avg,0.9698074260266402,0.906216872643345,0.9340915695359262,74523.0
