,precision,recall,f1-score,support
negative,0.862855254461335,0.8187519598620258,0.8402252614641995,3189.0
neutral,0.3875,0.04936305732484077,0.08757062146892655,628.0
positive,0.9620650866917497,0.9893498205025928,0.975516705669505,25070.0
accuracy,0.9500813514729809,0.9500813514729809,0.9500813514729809,0.9500813514729809
macro avg,0.7374734470510282,0.6191549458964865,0.6344375295342104,28887.0
weighted avg,0.9386217720718443,0.9500813514729809,0.9412772707524599,28887.0
