,precision,recall,f1-score,support
negative,0.9057883264713006,0.8945228414254963,0.9001203369434416,4181.0
neutral,0.3459214501510574,0.25164835164835164,0.2913486005089059,910.0
positive,0.9893018986978719,0.9935764488996428,0.9914345664108534,69432.0
accuracy,0.9789595158541659,0.9789595158541659,0.9789595158541659,0.9789595158541659
macro avg,0.74700389177341,0.7132492139911636,0.7276345012877337,74523.0
weighted avg,0.9767601806556983,0.9789595158541659,0.9777627735096815,74523.0
