,precision,recall,f1-score,support
negative,0.7550416778703952,0.8805268109125117,0.8129704690214244,3189.0
neutral,0.19973457199734573,0.47929936305732485,0.2819672131147541,628.0
positive,0.99150500824141,0.9357798165137615,0.9628367979315015,25070.0
accuracy,0.919756291757538,0.919756291757538,0.919756291757538,0.919756291757538
macro avg,0.648760419369717,0.7652019968278659,0.6859248266892267,28887.0
weighted avg,0.9481874815160859,0.919756291757538,0.9314901775777384,28887.0
